town,cluster_label,flat_type,remaining_lease_yrs,path,predicted_start_psf,floor_area_sqf,low_growth_annual,central_growth_annual,high_growth_annual,n_train_support,low_confidence,data_source
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,50,Resale Purchase,539.8612496745191,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,262,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,55,Resale Purchase,537.8942236415098,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,74,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,60,Resale Purchase,535.6283927625462,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,125,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,65,Resale Purchase,538.6068031326299,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,3,TRUE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,70,Resale Purchase,541.3691236664577,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,0,TRUE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,75,Resale Purchase,602.9481726084006,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,21,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,80,Resale Purchase,653.7443185872079,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,54,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,85,Resale Purchase,660.3669998195967,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,834,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,90,Resale Purchase,687.4922275228375,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,1504,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,2_ROOM,95,Resale Purchase,708.2632230813396,484,0.04271536121016051,0.050325242045158314,0.057720765539648555,375,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,3_ROOM,40,Resale Purchase,464.42228396762954,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,1764,FALSE,model
BUKIT BATOK,Cluster: Premium Suburbs,3_ROOM,45,Resale Purchase,471.6876901813502,732,0.023452622937928602,0.033763774797243906,0.04367922997107132,4726,FALSE,model
